material,avg_m_no_oxygen,avg_r_no_oxygen,avg_r_diff,avg_m_w_oxygen,avg_r_w_oxygen,parent perovskite 1,parent perovskite 2,parent perovskite 3,parent perovskite 4,t_factor,a_site_electronegativity,b_site_electronegativity,electro_diff,T,family,sample_type,measurement_direction,Note,Direction,Substrate,measurement_type,d_star,k_star,ead,eak,First Author,Second Author,Year,DOI,HHI Production average - with oxygen,HHI Production average - without oxygen,HHI Reserve average - with oxygen,HHI Reserve average - without oxygen,Doping Group
La_(2)Ni_(0.5)Cu_(0.5)O_(4+x),57.6,109.3,0,113,175,LaNi,LaCu,,,0.990897163,1.1,1.905,-0.805,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,3.00E-08,7.60E-07,6.50E-01,1.23,Boehm,Bassat,2003,10.1016/S1293-2558(03)00091-8,-3185.714286,-6766.666667,1385.714286,2566.666667,
La_(2)Ni_(0.25)Cu_(0.75)O_(4+x),57.7,109.3,0,113.4,175,LaNi,LaCu,,,0.998442065,1.1,1.9025,-0.8025,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,2.30E-08,4.10E-07,7.30E-01,1.37,Boehm,Bassat,2003,10.1016/S1293-2558(03)00091-8,-3207.142857,-6816.666667,1385.714286,2566.666667,
La_(2)CuO_(4+x),57.9,109,,113.8,175,LaCu,,,,1.005986967,1.1,1.9,-0.8,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,2.00E-08,1.50E-06,1.18E+00,0.61,Boehm,Bassat,2003,10.1016/S1293-2558(03)00091-8,-3228.571429,-6866.666667,1385.714286,2566.666667,
La_(0.5)Sr_(0.5)CoO_(3-x),44,102.5,2.5,86.1,166.3,LaCo,SrCo,,,1.005731028,1.025,1.88,-0.855,1000,Perovskite,Ceramic,bulk,,,,ECR,9.90E-08,3.90E-08,1.38E+00,0.69,Wang,Verma,2001,10.1016/S0167-2738(01)00709-3,-2290,-4975,1450,2875,
La_2NiO_(4+x),57.2,109,,112.2,175,LaNi,,,,0.975807358,1.1,1.91,-0.81,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,3.50E-08,2.60E-07,5.90E-01,1.29,Kilner,Shaw,2002,10.1016/S0167-2738(02)00506-4,-3142.857143,-6666.666667,1385.714286,2566.666667,
La_2Ni_(0.9)Co_(0.1)O_(4+x),57.2,109.3,0,112.2,175,LaNi,LaCo,,,0.975321882,1.1,1.907,-0.807,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,3.10E-08,1.60E-06,6.20E-01,0.58,Kilner,Shaw,2002,10.1016/S0167-2738(02)00506-4,-3172.857143,-6736.666667,1402.857143,2606.666667,
La_2Ni_(0.8)Co_(0.2)O_(4+x),57.2,109.3,0,112.2,175,LaNi,LaCo,,,0.974836405,1.1,1.904,-0.804,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,4.20E-08,1.20E-06,7.00E-01,0.31,Kilner,Shaw,2002,10.1016/S0167-2738(02)00506-4,-3202.857143,-6806.666667,1420,2646.666667,
La_2Ni_(0.5)Co_(0.5)O_(4+x),57.2,109.3,0,112.2,175,LaNi,LaCo,,,0.973379977,1.1,1.895,-0.795,1000,Ruddlesden-Popper,Ceramic,bulk,,,,IEDP/SIMS,5.80E-08,1.20E-06,7.40E-01,0.27,Kilner,Shaw,2002,10.1016/S0167-2738(02)00506-4,-3292.857143,-7016.666667,1471.428571,2766.666667,
La_(0.6)Sr_(0.4)Fe_(0.6)Ga_(0.4)O_(3-x),45.6,102.6,6,89.9,166.5,LaFe,LaGa,SrFe,SrGa,,1.04,1.822,-0.782,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,4.90E-08,5.90E-07,8.60E-01,0.93,Geffroy,Bassat,2010,10.1016/j.memsci.2010.03.001,-2504,-5510,1232,2330,
La_(0.6)Sr_(0.4)Fe_(0.9)Ga_(0.1)O_(3-x),44.7,103.2,3,87.8,168,LaFe,LaGa,SrFe,SrGa,,1.04,1.828,-0.788,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,1.10E-08,4.30E-07,1.22E+00,0.83,Geffroy,Bassat,2010,10.1016/j.memsci.2010.03.001,-2318,-5045,1202,2255,
La_(0.8)Sr_(0.2)Fe_(0.7)Ga_(0.3)O_(3-x),47.3,102.6,4,94.3,166.5,LaFe,LaGa,SrFe,SrGa,,1.07,1.824,-0.754,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,4.40E-10,1.90E-07,1.69E+00,0.88,Geffroy,Bassat,2010,10.1016/j.memsci.2010.03.001,-2654,-5885,1226,2315,
La_(0.9)Sr_(0.1)Fe_(0.9)Ga_(0.1)O_(3-x),47.8,102.9,1.5,95.5,167.3,LaFe,LaGa,SrFe,SrGa,,1.085,1.828,-0.743,1000,Perovskite,Ceramic,bulk,,,,IEDP/SIMS,2.80E-12,6.80E-09,2.76E+00,0.93,Geffroy,Bassat,2010,10.1016/j.memsci.2010.03.001,-2636,-5840,1208,2270,
